customer_id,tier_2016,tier_2017,tier_2018,tier_2019,tier_2020,tier_2021,tier_2022,tier_2023,tier_2024,gender,age_2016,age_2017,age_2018,age_2019,age_2020,age_2021,age_2022,age_2023,age_2024,th,ch
SYNTH_00000,0,0,0,0,1,0,0,0,0,F,70,71,72,73,74,75,76,77,78,000010000,000010000
SYNTH_00001,1,1,1,0,1,1,0,2,0,M,44,45,46,47,48,49,50,51,52,111011010,111011010
SYNTH_00002,0,0,0,0,0,0,1,0,0,F,14,15,16,17,18,19,20,21,22,000000100,000000100
SYNTH_00003,0,0,1,1,0,1,0,0,0,F,64,65,66,67,68,69,70,71,72,001101000,001101000
SYNTH_00004,0,1,1,0,0,0,0,0,0,M,68,69,70,71,72,73,74,75,76,011000000,011000000
SYNTH_00005,0,0,0,0,0,0,0,0,0,F,28,29,30,31,32,33,34,35,36,000000000,000000000
SYNTH_00006,0,0,0,0,0,0,0,0,0,M,35,36,37,38,39,40,41,42,43,000000000,000000000
SYNTH_00007,0,0,0,0,1,0,0,0,1,M,13,14,15,16,17,18,19,20,21,000010001,000010001
SYNTH_00008,1,0,0,1,0,1,0,1,1,M,59,60,61,62,63,64,65,66,67,100101011,100101011
SYNTH_00009,0,1,0,0,0,0,0,0,0,F,57,58,59,60,61,62,63,64,65,010000000,010000000
SYNTH_00010,1,1,1,0,0,0,0,0,0,M,13,14,15,16,17,18,19,20,21,111000000,111000000
SYNTH_00011,0,0,0,0,0,0,1,0,0,M,53,54,55,56,57,58,59,60,61,000000100,000000100
SYNTH_00012,0,0,0,0,1,0,0,2,0,M,36,37,38,39,40,41,42,43,44,000010010,000010010
SYNTH_00013,0,0,0,0,0,0,0,0,0,M,44,45,46,47,48,49,50,51,52,000000000,000000000
SYNTH_00014,0,0,2,1,0,1,1,0,1,M,24,25,26,27,28,29,30,31,32,001101101,001101101
SYNTH_00015,2,1,1,2,0,1,1,2,0,M,60,61,62,63,64,65,66,67,68,111101110,111101110
SYNTH_00016,0,0,1,0,0,0,0,0,0,M,35,36,37,38,39,40,41,42,43,001000000,001000000
SYNTH_00017,1,0,0,0,0,0,0,0,0,M,61,62,63,64,65,66,67,68,69,100000000,100000000
SYNTH_00018,0,0,0,0,0,0,1,0,0,F,20,21,22,23,24,25,26,27,28,000000100,000000100
SYNTH_00019,0,1,1,1,0,1,1,0,0,M,46,47,48,49,50,51,52,53,54,011101100,011101100
SYNTH_00020,0,0,0,0,0,0,0,0,0,F,30,31,32,33,34,35,36,37,38,000000000,000000000
SYNTH_00021,0,0,0,0,0,0,0,0,0,M,68,69,70,71,72,73,74,75,76,000000000,000000000
SYNTH_00022,0,0,0,0,0,0,0,0,0,M,44,45,46,47,48,49,50,51,52,000000000,000000000
SYNTH_00023,0,0,0,0,0,0,0,1,0,M,54,55,56,57,58,59,60,61,62,000000010,000000010
SYNTH_00024,0,0,0,1,0,0,0,0,0,M,17,18,19,20,21,22,23,24,25,000100000,000100000
SYNTH_00025,0,1,1,0,0,0,0,0,0,M,51,52,53,54,55,56,57,58,59,011000000,011000000
SYNTH_00026,1,0,0,0,0,0,0,0,0,F,17,18,19,20,21,22,23,24,25,100000000,100000000
SYNTH_00027,0,2,0,1,0,1,1,1,0,M,33,34,35,36,37,38,39,40,41,010101110,010101110
SYNTH_00028,1,1,0,1,0,0,0,0,0,M,25,26,27,28,29,30,31,32,33,110100000,110100000
SYNTH_00029,0,0,1,1,0,0,0,0,0,F,12,13,14,15,16,17,18,19,20,001100000,001100000
SYNTH_00030,0,0,0,1,1,1,1,1,0,M,46,47,48,49,50,51,52,53,54,000111110,000111110
SYNTH_00031,0,0,0,0,0,0,0,1,1,M,26,27,28,29,30,31,32,33,34,000000011,000000011
SYNTH_00032,0,1,1,0,0,0,1,1,1,M,42,43,44,45,46,47,48,49,50,011000111,011000111
SYNTH_00033,2,1,1,0,0,0,0,0,0,M,57,58,59,60,61,62,63,64,65,111000000,111000000
SYNTH_00034,0,0,0,0,0,0,0,0,0,M,22,23,24,25,26,27,28,29,30,000000000,000000000
SYNTH_00035,0,0,1,1,1,0,0,1,1,F,53,54,55,56,57,58,59,60,61,001110011,001110011
SYNTH_00036,1,0,0,0,0,0,0,0,0,F,29,30,31,32,33,34,35,36,37,100000000,100000000
SYNTH_00037,1,1,0,1,0,0,0,0,0,M,31,32,33,34,35,36,37,38,39,110100000,110100000
SYNTH_00038,1,1,1,1,1,1,0,0,0,F,46,47,48,49,50,51,52,53,54,111111000,111111000
SYNTH_00039,0,0,1,1,1,1,1,0,0,F,48,49,50,51,52,53,54,55,56,001111100,001111100
SYNTH_00040,0,1,1,0,0,0,0,0,0,M,50,51,52,53,54,55,56,57,58,011000000,011000000
SYNTH_00041,0,0,0,0,1,2,1,2,0,F,23,24,25,26,27,28,29,30,31,000011110,000011110
SYNTH_00042,0,0,1,0,0,0,1,0,0,F,46,47,48,49,50,51,52,53,54,001000100,001000100
SYNTH_00043,1,1,0,1,0,0,0,0,0,F,27,28,29,30,31,32,33,34,35,110100000,110100000
SYNTH_00044,0,0,0,0,1,1,0,0,0,F,28,29,30,31,32,33,34,35,36,000011000,000011000
SYNTH_00045,0,0,0,0,0,1,1,1,1,M,67,68,69,70,71,72,73,74,75,000001111,000001111
SYNTH_00046,0,1,1,1,1,1,0,0,0,M,17,18,19,20,21,22,23,24,25,011111000,011111000
SYNTH_00047,1,0,1,0,0,0,0,0,0,M,36,37,38,39,40,41,42,43,44,101000000,101000000
SYNTH_00048,0,0,0,0,0,0,0,0,0,M,37,38,39,40,41,42,43,44,45,000000000,000000000
SYNTH_00049,1,0,0,0,0,0,0,0,0,M,26,27,28,29,30,31,32,33,34,100000000,100000000
SYNTH_00050,1,0,0,0,0,0,0,0,0,F,58,59,60,61,62,63,64,65,66,100000000,100000000
SYNTH_00051,1,0,0,0,0,0,0,0,0,M,40,41,42,43,44,45,46,47,48,100000000,100000000
SYNTH_00052,0,0,0,1,1,0,1,1,1,M,54,55,56,57,58,59,60,61,62,000110111,000110111
SYNTH_00053,0,0,0,0,0,0,0,0,0,F,34,35,36,37,38,39,40,41,42,000000000,000000000
SYNTH_00054,0,0,2,0,1,1,1,0,0,M,64,65,66,67,68,69,70,71,72,001011100,001011100
SYNTH_00055,0,0,0,1,2,1,0,0,1,M,55,56,57,58,59,60,61,62,63,000111001,000111001
SYNTH_00056,2,0,0,0,0,0,0,0,0,F,31,32,33,34,35,36,37,38,39,100000000,100000000
SYNTH_00057,0,0,1,1,1,1,1,1,0,M,68,69,70,71,72,73,74,75,76,001111110,001111110
SYNTH_00058,0,0,0,0,0,0,0,0,0,M,63,64,65,66,67,68,69,70,71,000000000,000000000
SYNTH_00059,1,1,0,1,0,0,0,0,0,M,46,47,48,49,50,51,52,53,54,110100000,110100000
SYNTH_00060,0,0,1,0,0,0,0,0,0,F,12,13,14,15,16,17,18,19,20,001000000,001000000
SYNTH_00061,1,0,0,0,0,0,0,0,0,M,46,47,48,49,50,51,52,53,54,100000000,100000000
SYNTH_00062,0,0,0,1,1,0,0,0,0,M,52,53,54,55,56,57,58,59,60,000110000,000110000
SYNTH_00063,0,0,0,1,0,1,0,0,1,M,33,34,35,36,37,38,39,40,41,000101001,000101001
SYNTH_00064,0,0,1,0,0,0,0,0,0,M,20,21,22,23,24,25,26,27,28,001000000,001000000
SYNTH_00065,0,1,0,0,0,0,0,0,0,F,45,46,47,48,49,50,51,52,53,010000000,010000000
SYNTH_00066,0,1,1,1,0,1,1,1,0,M,59,60,61,62,63,64,65,66,67,011101110,011101110
SYNTH_00067,1,0,0,0,0,0,0,0,0,F,30,31,32,33,34,35,36,37,38,100000000,100000000
SYNTH_00068,1,1,1,0,1,0,1,0,1,M,38,39,40,41,42,43,44,45,46,111010101,111010101
SYNTH_00069,1,1,0,1,1,1,2,0,1,M,12,13,14,15,16,17,18,19,20,110111101,110111101
SYNTH_00070,0,0,0,0,0,0,0,0,0,F,53,54,55,56,57,58,59,60,61,000000000,000000000
SYNTH_00071,2,1,0,0,0,0,0,0,0,M,63,64,65,66,67,68,69,70,71,110000000,110000000
SYNTH_00072,0,0,0,0,0,1,0,1,2,M,57,58,59,60,61,62,63,64,65,000001011,000001011
SYNTH_00073,1,1,0,0,0,0,0,0,0,F,37,38,39,40,41,42,43,44,45,110000000,110000000
SYNTH_00074,0,1,1,0,0,0,0,0,0,UNKNOWN,14,15,16,17,18,19,20,21,22,011000000,011000000
SYNTH_00075,1,1,0,1,0,1,0,0,0,M,41,42,43,44,45,46,47,48,49,110101000,110101000
SYNTH_00076,1,1,0,0,0,0,0,0,0,F,67,68,69,70,71,72,73,74,75,110000000,110000000
SYNTH_00077,0,0,0,0,0,0,0,0,0,M,16,17,18,19,20,21,22,23,24,000000000,000000000
SYNTH_00078,0,0,1,1,1,1,2,2,0,M,24,25,26,27,28,29,30,31,32,001111110,001111110
SYNTH_00079,0,0,0,0,1,0,0,0,0,M,61,62,63,64,65,66,67,68,69,000010000,000010000
SYNTH_00080,0,0,1,0,0,0,0,1,1,M,45,46,47,48,49,50,51,52,53,001000011,001000011
SYNTH_00081,0,2,2,1,1,0,1,0,1,M,22,23,24,25,26,27,28,29,30,011110101,011110101
SYNTH_00082,0,0,0,0,0,1,1,1,0,F,13,14,15,16,17,18,19,20,21,000001110,000001110
SYNTH_00083,0,0,1,0,1,1,2,0,0,M,36,37,38,39,40,41,42,43,44,001011100,001011100
SYNTH_00084,1,0,1,1,1,0,0,0,0,F,47,48,49,50,51,52,53,54,55,101110000,101110000
SYNTH_00085,0,0,0,0,0,0,0,0,0,M,61,62,63,64,65,66,67,68,69,000000000,000000000
SYNTH_00086,0,0,0,0,1,0,0,0,0,M,64,65,66,67,68,69,70,71,72,000010000,000010000
SYNTH_00087,1,1,0,1,0,0,0,0,0,M,39,40,41,42,43,44,45,46,47,110100000,110100000
SYNTH_00088,0,1,0,0,0,0,0,0,0,F,36,37,38,39,40,41,42,43,44,010000000,010000000
SYNTH_00089,1,0,1,0,0,1,0,1,0,M,66,67,68,69,70,71,72,73,74,101001010,101001010
SYNTH_00090,1,1,0,0,2,0,1,0,2,M,57,58,59,60,61,62,63,64,65,110010101,110010101
SYNTH_00091,0,0,2,1,0,1,0,0,0,F,24,25,26,27,28,29,30,31,32,001101000,001101000
SYNTH_00092,0,0,1,0,0,0,0,0,0,F,52,53,54,55,56,57,58,59,60,001000000,001000000
SYNTH_00093,1,1,1,1,0,0,0,0,0,M,54,55,56,57,58,59,60,61,62,111100000,111100000
SYNTH_00094,1,0,1,0,1,1,0,0,0,F,25,26,27,28,29,30,31,32,33,101011000,101011000
SYNTH_00095,0,0,0,0,0,0,0,0,0,M,69,70,71,72,73,74,75,76,77,000000000,000000000
SYNTH_00096,2,1,0,2,2,0,2,1,1,M,29,30,31,32,33,34,35,36,37,110110111,110110111
SYNTH_00097,0,1,1,1,0,1,0,1,1,M,44,45,46,47,48,49,50,51,52,011101011,011101011
SYNTH_00098,1,0,0,0,0,0,0,0,0,M,41,42,43,44,45,46,47,48,49,100000000,100000000
SYNTH_00099,0,0,0,0,0,0,0,0,1,M,52,53,54,55,56,57,58,59,60,000000001,000000001
SYNTH_00100,0,0,0,0,0,0,1,1,0,F,65,66,67,68,69,70,71,72,73,000000110,000000110
SYNTH_00101,0,0,0,1,0,0,0,0,0,M,35,36,37,38,39,40,41,42,43,000100000,000100000
SYNTH_00102,0,0,0,0,0,0,0,0,0,F,34,35,36,37,38,39,40,41,42,000000000,000000000
SYNTH_00103,0,0,0,0,0,0,0,0,0,F,56,57,58,59,60,61,62,63,64,000000000,000000000
SYNTH_00104,0,0,0,0,1,0,0,0,0,F,68,69,70,71,72,73,74,75,76,000010000,000010000
SYNTH_00105,0,0,1,0,0,0,0,0,0,F,65,66,67,68,69,70,71,72,73,001000000,001000000
SYNTH_00106,0,0,0,0,0,0,0,0,0,F,56,57,58,59,60,61,62,63,64,000000000,000000000
SYNTH_00107,1,1,1,2,1,2,1,0,2,F,53,54,55,56,57,58,59,60,61,111111101,111111101
SYNTH_00108,1,1,1,0,0,0,0,0,0,M,57,58,59,60,61,62,63,64,65,111000000,111000000
SYNTH_00109,0,0,0,0,0,0,0,1,0,M,67,68,69,70,71,72,73,74,75,000000010,000000010
SYNTH_00110,1,2,1,0,1,2,1,0,0,M,12,13,14,15,16,17,18,19,20,111011100,111011100
SYNTH_00111,1,0,1,1,0,0,0,0,0,M,46,47,48,49,50,51,52,53,54,101100000,101100000
SYNTH_00112,1,0,0,0,0,0,0,0,0,M,14,15,16,17,18,19,20,21,22,100000000,100000000
SYNTH_00113,0,0,1,0,0,0,0,0,0,F,46,47,48,49,50,51,52,53,54,001000000,001000000
SYNTH_00114,0,1,1,0,1,0,1,0,0,M,35,36,37,38,39,40,41,42,43,011010100,011010100
SYNTH_00115,0,0,0,0,0,1,1,0,0,F,29,30,31,32,33,34,35,36,37,000001100,000001100
SYNTH_00116,0,0,0,0,1,1,1,1,0,M,64,65,66,67,68,69,70,71,72,000011110,000011110
SYNTH_00117,0,0,1,2,1,0,2,1,2,M,53,54,55,56,57,58,59,60,61,001110111,001110111
SYNTH_00118,1,0,1,0,0,1,0,0,0,M,45,46,47,48,49,50,51,52,53,101001000,101001000
SYNTH_00119,0,0,2,0,1,2,0,0,0,M,64,65,66,67,68,69,70,71,72,001011000,001011000
SYNTH_00120,0,1,0,2,1,1,0,2,0,M,17,18,19,20,21,22,23,24,25,010111010,010111010
SYNTH_00121,0,0,1,0,0,0,0,0,0,M,50,51,52,53,54,55,56,57,58,001000000,001000000
SYNTH_00122,0,1,1,0,0,1,0,0,0,M,21,22,23,24,25,26,27,28,29,011001000,011001000
SYNTH_00123,1,0,0,1,1,0,1,0,0,M,25,26,27,28,29,30,31,32,33,100110100,100110100
SYNTH_00124,0,2,0,1,1,1,0,1,0,M,22,23,24,25,26,27,28,29,30,010111010,010111010
SYNTH_00125,1,0,0,0,0,0,0,0,0,M,44,45,46,47,48,49,50,51,52,100000000,100000000
SYNTH_00126,1,0,0,0,0,0,0,0,0,M,49,50,51,52,53,54,55,56,57,100000000,100000000
SYNTH_00127,1,0,1,0,1,0,2,2,1,M,56,57,58,59,60,61,62,63,64,101010111,101010111
SYNTH_00128,1,1,1,0,0,0,0,0,0,M,37,38,39,40,41,42,43,44,45,111000000,111000000
SYNTH_00129,0,1,1,1,0,0,1,0,0,M,67,68,69,70,71,72,73,74,75,011100100,011100100
SYNTH_00130,1,0,0,0,0,0,0,0,0,M,34,35,36,37,38,39,40,41,42,100000000,100000000
SYNTH_00131,0,0,0,0,0,0,0,0,0,F,21,22,23,24,25,26,27,28,29,000000000,000000000
SYNTH_00132,0,0,0,0,0,0,0,0,0,F,14,15,16,17,18,19,20,21,22,000000000,000000000
SYNTH_00133,0,1,0,0,0,0,0,0,0,F,19,20,21,22,23,24,25,26,27,010000000,010000000
SYNTH_00134,0,1,1,0,1,0,0,0,0,M,38,39,40,41,42,43,44,45,46,011010000,011010000
SYNTH_00135,0,0,1,0,0,0,0,0,0,UNKNOWN,36,37,38,39,40,41,42,43,44,001000000,001000000
SYNTH_00136,0,0,0,0,0,0,0,1,0,M,62,63,64,65,66,67,68,69,70,000000010,000000010
SYNTH_00137,0,1,0,0,0,0,0,0,0,F,19,20,21,22,23,24,25,26,27,010000000,010000000
SYNTH_00138,0,0,0,1,0,0,0,0,0,F,27,28,29,30,31,32,33,34,35,000100000,000100000
SYNTH_00139,1,1,0,0,0,0,0,0,0,F,69,70,71,72,73,74,75,76,77,110000000,110000000
SYNTH_00140,1,0,0,0,0,0,0,0,0,F,13,14,15,16,17,18,19,20,21,100000000,100000000
SYNTH_00141,1,0,0,0,0,0,0,0,0,M,37,38,39,40,41,42,43,44,45,100000000,100000000
SYNTH_00142,0,0,0,0,0,0,1,1,0,UNKNOWN,23,24,25,26,27,28,29,30,31,000000110,000000110
SYNTH_00143,0,1,1,1,1,0,0,0,0,F,43,44,45,46,47,48,49,50,51,011110000,011110000
SYNTH_00144,1,0,0,0,0,0,0,0,0,M,69,70,71,72,73,74,75,76,77,100000000,100000000
SYNTH_00145,0,0,1,0,0,0,1,1,0,F,25,26,27,28,29,30,31,32,33,001000110,001000110
SYNTH_00146,1,0,0,0,0,0,0,0,0,UNKNOWN,33,34,35,36,37,38,39,40,41,100000000,100000000
SYNTH_00147,1,0,0,0,0,0,0,0,0,F,38,39,40,41,42,43,44,45,46,100000000,100000000
SYNTH_00148,1,1,0,0,0,0,0,0,0,F,59,60,61,62,63,64,65,66,67,110000000,110000000
SYNTH_00149,0,0,0,0,0,0,0,0,0,M,70,71,72,73,74,75,76,77,78,000000000,000000000
SYNTH_00150,0,0,0,0,1,0,1,1,0,F,17,18,19,20,21,22,23,24,25,000010110,000010110
SYNTH_00151,0,0,0,0,0,0,0,1,0,M,40,41,42,43,44,45,46,47,48,000000010,000000010
