model_name,log_likelihood,aic,n_parameters,strategy_used,success,error
phi~1_p~1_f~1,,,,,False,OptimizationRequest.__init__() got an unexpected keyword argument 'config'
phi~1_p~1_f~1 + gender,,,,,False,OptimizationRequest.__init__() got an unexpected keyword argument 'config'
phi~1_p~1_f~1 + age,,,,,False,OptimizationRequest.__init__() got an unexpected keyword argument 'config'
phi~1_p~1_f~1 + tier,,,,,False,OptimizationRequest.__init__() got an unexpected keyword argument 'config'
phi~1_p~1_f~1 + gender + age,,,,,False,OptimizationRequest.__init__() got an unexpected keyword argument 'config'
phi~1_p~1_f~1 + gender + tier,,,,,False,OptimizationRequest.__init__() got an unexpected keyword argument 'config'
phi~1_p~1_f~1 + age + tier,,,,,False,OptimizationRequest.__init__() got an unexpected keyword argument 'config'
phi~1_p~1_f~1 + gender + age + tier,,,,,False,OptimizationRequest.__init__() got an unexpected keyword argument 'config'
phi~1 + gender_p~1_f~1,,,,,False,OptimizationRequest.__init__() got an unexpected keyword argument 'config'
phi~1 + gender_p~1_f~1 + gender,,,,,False,OptimizationRequest.__init__() got an unexpected keyword argument 'config'
phi~1 + gender_p~1_f~1 + age,,,,,False,OptimizationRequest.__init__() got an unexpected keyword argument 'config'
phi~1 + gender_p~1_f~1 + tier,,,,,False,OptimizationRequest.__init__() got an unexpected keyword argument 'config'
phi~1 + gender_p~1_f~1 + gender + age,,,,,False,OptimizationRequest.__init__() got an unexpected keyword argument 'config'
phi~1 + gender_p~1_f~1 + gender + tier,,,,,False,OptimizationRequest.__init__() got an unexpected keyword argument 'config'
phi~1 + gender_p~1_f~1 + age + tier,,,,,False,OptimizationRequest.__init__() got an unexpected keyword argument 'config'
phi~1 + gender_p~1_f~1 + gender + age + tier,,,,,False,OptimizationRequest.__init__() got an unexpected keyword argument 'config'
phi~1 + age_p~1_f~1,,,,,False,OptimizationRequest.__init__() got an unexpected keyword argument 'config'
phi~1 + age_p~1_f~1 + gender,,,,,False,OptimizationRequest.__init__() got an unexpected keyword argument 'config'
phi~1 + age_p~1_f~1 + age,,,,,False,OptimizationRequest.__init__() got an unexpected keyword argument 'config'
phi~1 + age_p~1_f~1 + tier,,,,,False,OptimizationRequest.__init__() got an unexpected keyword argument 'config'
phi~1 + age_p~1_f~1 + gender + age,,,,,False,OptimizationRequest.__init__() got an unexpected keyword argument 'config'
phi~1 + age_p~1_f~1 + gender + tier,,,,,False,OptimizationRequest.__init__() got an unexpected keyword argument 'config'
