model_name,log_likelihood,aic,n_parameters,strategy_used,success
phi~1_p~1_f~1,-1034842.5625,2069691.125,3,scipy_lbfgs,True
phi~1_p~1_f~1 + gender,-1034842.5625,2069693.125,4,scipy_lbfgs,True
phi~1_p~1_f~1 + age,-1034842.5625,2069693.125,4,scipy_lbfgs,True
phi~1_p~1_f~1 + tier,-1034842.5625,2069695.125,5,scipy_lbfgs,True
phi~1_p~1_f~1 + gender + age,-1034842.5625,2069695.125,5,scipy_lbfgs,True
phi~1_p~1_f~1 + gender + tier,-1034842.5625,2069697.125,6,scipy_lbfgs,True
phi~1_p~1_f~1 + age + tier,-1034842.5625,2069697.125,6,scipy_lbfgs,True
phi~1_p~1_f~1 + gender + age + tier,-1034842.5625,2069699.125,7,scipy_lbfgs,True
phi~1 + gender_p~1_f~1,-1034842.5625,2069693.125,4,scipy_lbfgs,True
phi~1 + gender_p~1_f~1 + gender,-1034842.5625,2069695.125,5,scipy_lbfgs,True
phi~1 + gender_p~1_f~1 + age,-1034842.5625,2069695.125,5,scipy_lbfgs,True
phi~1 + gender_p~1_f~1 + tier,-1034842.5625,2069697.125,6,scipy_lbfgs,True
phi~1 + gender_p~1_f~1 + gender + age,-1034842.5625,2069697.125,6,scipy_lbfgs,True
phi~1 + gender_p~1_f~1 + gender + tier,-1034842.5625,2069699.125,7,scipy_lbfgs,True
phi~1 + gender_p~1_f~1 + age + tier,-1034842.5625,2069699.125,7,scipy_lbfgs,True
phi~1 + gender_p~1_f~1 + gender + age + tier,-1034842.5625,2069701.125,8,scipy_lbfgs,True
phi~1 + age_p~1_f~1,-1034842.5625,2069693.125,4,scipy_lbfgs,True
phi~1 + age_p~1_f~1 + gender,-1034842.5625,2069695.125,5,scipy_lbfgs,True
phi~1 + age_p~1_f~1 + age,-1034842.5625,2069695.125,5,scipy_lbfgs,True
phi~1 + age_p~1_f~1 + tier,-1034842.5625,2069697.125,6,scipy_lbfgs,True
phi~1 + age_p~1_f~1 + gender + age,-1034842.5625,2069697.125,6,scipy_lbfgs,True
phi~1 + age_p~1_f~1 + gender + tier,-1034842.5625,2069699.125,7,scipy_lbfgs,True
phi~1 + age_p~1_f~1 + age + tier,-1034842.5625,2069699.125,7,scipy_lbfgs,True
phi~1 + age_p~1_f~1 + gender + age + tier,-1034842.5625,2069701.125,8,scipy_lbfgs,True
phi~1 + tier_p~1_f~1,-1034842.5625,2069695.125,5,scipy_lbfgs,True
phi~1 + tier_p~1_f~1 + gender,-1034842.5625,2069697.125,6,scipy_lbfgs,True
phi~1 + tier_p~1_f~1 + age,-1034842.5625,2069697.125,6,scipy_lbfgs,True
phi~1 + tier_p~1_f~1 + tier,-1034842.5625,2069699.125,7,scipy_lbfgs,True
phi~1 + tier_p~1_f~1 + gender + age,-1034842.5625,2069699.125,7,scipy_lbfgs,True
phi~1 + tier_p~1_f~1 + gender + tier,-1034842.5625,2069701.125,8,scipy_lbfgs,True
phi~1 + tier_p~1_f~1 + age + tier,-1034842.5625,2069701.125,8,scipy_lbfgs,True
phi~1 + tier_p~1_f~1 + gender + age + tier,-1034842.5625,2069703.125,9,scipy_lbfgs,True
phi~1 + gender + age_p~1_f~1,-1034842.5625,2069695.125,5,scipy_lbfgs,True
phi~1 + gender + age_p~1_f~1 + gender,-1034842.5625,2069697.125,6,scipy_lbfgs,True
phi~1 + gender + age_p~1_f~1 + age,-1034842.5625,2069697.125,6,scipy_lbfgs,True
