model_name,aic,n_parameters,delta_aic,aic_weight,substantial_support
phi~1 + age_p~1_f~1,1386532.5,4,0.0,1.0,True
phi~1 + gender + age + tier_p~1_f~1 + gender + age + tier,1397015.25,11,10482.75,0.0,False
phi~1 + age + tier_p~1_f~1 + gender + age + tier,1397018.5,10,10486.0,0.0,False
phi~1 + age_p~1_f~1 + gender + tier,1398141.5,7,11609.0,0.0,False
phi~1 + gender + tier_p~1_f~1 + age,1971229.625,7,584697.125,0.0,False
phi~1 + gender + tier_p~1_f~1,1972098.25,6,585565.75,0.0,False
phi~1 + gender + tier_p~1_f~1 + gender + age,1976600.875,8,590068.375,0.0,False
phi~1 + gender + tier_p~1_f~1 + age + tier,1976788.5,9,590256.0,0.0,False
phi~1 + gender + tier_p~1_f~1 + gender,1977544.75,7,591012.25,0.0,False
phi~1 + gender + tier_p~1_f~1 + tier,1977742.5,8,591210.0,0.0,False
phi~1 + gender + age + tier_p~1_f~1 + age,1978115.125,8,591582.625,0.0,False
phi~1 + gender + age + tier_p~1_f~1,1978983.75,7,592451.25,0.0,False
phi~1 + gender + tier_p~1_f~1 + gender + age + tier,1982670.75,10,596138.25,0.0,False
phi~1 + gender + age + tier_p~1_f~1 + gender + age,1983486.5,9,596954.0,0.0,False
phi~1 + gender + age + tier_p~1_f~1 + age + tier,1983674.0,10,597141.5,0.0,False
phi~1 + gender + tier_p~1_f~1 + gender + tier,1983707.375,9,597174.875,0.0,False
phi~1 + gender + age + tier_p~1_f~1 + gender,1984430.375,8,597897.875,0.0,False
phi~1 + gender + age + tier_p~1_f~1 + tier,1984628.25,9,598095.75,0.0,False
phi~1 + gender + age + tier_p~1_f~1 + gender + tier,1990592.75,10,604060.25,0.0,False
phi~1 + tier_p~1_f~1 + age,2017733.25,6,631200.75,0.0,False
phi~1 + tier_p~1_f~1,2018601.625,5,632069.125,0.0,False
phi~1 + gender_p~1_f~1 + age,2019486.625,5,632954.125,0.0,False
phi~1 + gender_p~1_f~1,2020355.0,4,633822.5,0.0,False
phi~1 + tier_p~1_f~1 + gender + age,2023104.25,7,636571.75,0.0,False
phi~1 + tier_p~1_f~1 + age + tier,2023291.875,8,636759.375,0.0,False
phi~1 + tier_p~1_f~1 + gender,2024048.5,6,637516.0,0.0,False
phi~1 + tier_p~1_f~1 + tier,2024246.125,7,637713.625,0.0,False
phi~1 + age + tier_p~1_f~1 + age,2024852.75,7,638320.25,0.0,False
phi~1 + gender_p~1_f~1 + gender + age,2024857.875,6,638325.375,0.0,False
phi~1 + gender_p~1_f~1 + age + tier,2025045.25,7,638512.75,0.0,False
phi~1 + age + tier_p~1_f~1,2025721.375,6,639188.875,0.0,False
phi~1 + gender_p~1_f~1 + gender,2025801.875,5,639269.375,0.0,False
phi~1 + gender_p~1_f~1 + tier,2025999.75,6,639467.25,0.0,False
phi~1 + gender + age_p~1_f~1 + age,2026659.375,6,640126.875,0.0,False
phi~1 + gender + age_p~1_f~1,2027528.0,5,640995.5,0.0,False
phi~1 + tier_p~1_f~1 + gender + age + tier,2029174.25,9,642641.75,0.0,False
phi~1 + tier_p~1_f~1 + gender + tier,2030210.625,8,643678.125,0.0,False
phi~1 + age + tier_p~1_f~1 + gender + age,2030224.0,8,643691.5,0.0,False
phi~1 + age + tier_p~1_f~1 + age + tier,2030411.75,9,643879.25,0.0,False
phi~1 + gender_p~1_f~1 + gender + age + tier,2030927.75,8,644395.25,0.0,False
phi~1 + age + tier_p~1_f~1 + gender,2031168.0,7,644635.5,0.0,False
phi~1 + age + tier_p~1_f~1 + tier,2031365.75,8,644833.25,0.0,False
phi~1 + gender_p~1_f~1 + gender + tier,2031964.25,7,645431.75,0.0,False
phi~1 + gender + age_p~1_f~1 + gender + age,2032030.75,7,645498.25,0.0,False
phi~1 + gender + age_p~1_f~1 + age + tier,2032218.25,8,645685.75,0.0,False
phi~1 + gender + age_p~1_f~1 + gender,2032974.75,6,646442.25,0.0,False
phi~1 + gender + age_p~1_f~1 + tier,2033172.375,7,646639.875,0.0,False
phi~1 + age + tier_p~1_f~1 + gender + tier,2037330.25,9,650797.75,0.0,False
phi~1 + gender + age_p~1_f~1 + gender + age + tier,2038100.5,9,651568.0,0.0,False
phi~1 + gender + age_p~1_f~1 + gender + tier,2039137.0,8,652604.5,0.0,False
phi~1_p~1_f~1 + age,2068822.25,4,682289.75,0.0,False
phi~1 + age_p~1_f~1 + gender,2069020.25,5,682487.75,0.0,False
phi~1_p~1_f~1,2069691.125,3,683158.625,0.0,False
phi~1_p~1_f~1 + gender + age,2074193.625,5,687661.125,0.0,False
phi~1_p~1_f~1 + age + tier,2074381.125,6,687848.625,0.0,False
phi~1_p~1_f~1 + gender,2075137.625,4,688605.125,0.0,False
phi~1_p~1_f~1 + tier,2075335.25,5,688802.75,0.0,False
phi~1 + age_p~1_f~1 + age,2076219.5,5,689687.0,0.0,False
phi~1_p~1_f~1 + gender + age + tier,2080263.75,7,693731.25,0.0,False
phi~1_p~1_f~1 + gender + tier,2081300.0,6,694767.5,0.0,False
phi~1 + age_p~1_f~1 + gender + age,2081590.75,6,695058.25,0.0,False
phi~1 + age_p~1_f~1 + age + tier,2081778.25,7,695245.75,0.0,False
phi~1 + age_p~1_f~1 + tier,2082732.5,6,696200.0,0.0,False
phi~1 + age_p~1_f~1 + gender + age + tier,2087660.625,8,701128.125,0.0,False
