model_name,log_likelihood,aic,n_parameters,strategy_used,success,delta_aic,aic_weight,substantial_support
phi~1 + gender + tier + age_2020_p~1_f~1 + age_2020,-607546.75,1215109.5,8,scipy_lbfgs,True,0.0,0.6439142598879724,True
phi~1 + gender + tier + age_2020_p~1_f~1 + gender + age_2020,-607546.75,1215111.5,9,scipy_lbfgs,True,2.0,0.23688281808991013,True
phi~1 + gender + tier + age_2020_p~1_f~1 + tier + age_2020,-607546.75,1215113.5,10,scipy_lbfgs,True,4.0,0.08714431874203257,False
phi~1 + gender + tier + age_2020_p~1_f~1 + gender + tier + age_2020,-607546.75,1215115.5,11,scipy_lbfgs,True,6.0,0.03205860328008499,False
phi~1 + gender + age_2020_p~1_f~1 + age_2020,-609435.25,1218882.5,6,scipy_lbfgs,True,3773.0,0.0,False
phi~1 + tier + age_2020_p~1_f~1 + age_2020,-609435.25,1218884.5,7,scipy_lbfgs,True,3775.0,0.0,False
phi~1 + gender + age_2020_p~1_f~1 + gender + age_2020,-609435.25,1218884.5,7,scipy_lbfgs,True,3775.0,0.0,False
phi~1 + tier + age_2020_p~1_f~1 + gender + age_2020,-609435.25,1218886.5,8,scipy_lbfgs,True,3777.0,0.0,False
phi~1 + gender + age_2020_p~1_f~1 + tier + age_2020,-609435.25,1218886.5,8,scipy_lbfgs,True,3777.0,0.0,False
phi~1 + tier + age_2020_p~1_f~1 + tier + age_2020,-609435.25,1218888.5,9,scipy_lbfgs,True,3779.0,0.0,False
phi~1 + gender + age_2020_p~1_f~1 + gender + tier + age_2020,-609435.25,1218888.5,9,scipy_lbfgs,True,3779.0,0.0,False
phi~1 + tier + age_2020_p~1_f~1 + gender + tier + age_2020,-609435.25,1218890.5,10,scipy_lbfgs,True,3781.0,0.0,False
phi~1 + tier + age_2020_p~1_f~1 + tier,-611320.3125,1222656.625,8,scipy_lbfgs,True,7547.125,0.0,False
phi~1 + age_2020_p~1_f~1 + gender + tier + age_2020,-611501.75,1223019.5,8,scipy_lbfgs,True,7910.0,0.0,False
phi~1 + gender + age_2020_p~1_f~1 + gender + tier,-613598.5,1227213.0,8,scipy_lbfgs,True,12103.5,0.0,False
phi~1 + gender + tier + age_2020_p~1_f~1,-628169.5625,1256353.125,7,scipy_lbfgs,True,41243.625,0.0,False
