model_name,aic,n_parameters,delta_aic,aic_weight,substantial_support
phi~1 + gender + age_2020_p~1_f~1 + gender + age_2020,121956.1484375,7,0.0,0.5761168847636347,True
phi~1 + gender + tier_p~1_f~1 + gender + age_2020,121958.1484375,8,2.0,0.21194155761627814,True
phi~1 + tier + age_2020_p~1_f~1 + gender + age_2020,121958.1484375,8,2.0,0.21194155761627814,True
phi~1 + gender + tier_p~1_f~1 + tier + age_2020,122007.6328125,9,51.484375,3.809084615955953e-12,False
phi~1 + gender + tier_p~1_f~1 + age_2020,122303.1796875,7,347.03125,2.53298222496809e-76,False
phi~1 + gender + tier_p~1_f~1 + gender + tier + age_2020,122309.1796875,10,353.03125,1.2610975920907044e-77,False
phi~1 + gender + tier + age_2020_p~1_f~1 + age_2020,125895.875,8,3939.7265625,0.0,False
phi~1 + gender + tier + age_2020_p~1_f~1 + tier + age_2020,125899.875,10,3943.7265625,0.0,False
phi~1 + gender + tier + age_2020_p~1_f~1 + gender + tier + age_2020,125901.875,11,3945.7265625,0.0,False
phi~1 + gender + tier_p~1_f~1,126251.8515625,6,4295.703125,0.0,False
phi~1 + gender + age_2020_p~1_f~1 + age_2020,126284.234375,6,4328.0859375,0.0,False
phi~1 + tier + age_2020_p~1_f~1 + age_2020,126286.234375,7,4330.0859375,0.0,False
phi~1 + gender + age_2020_p~1_f~1 + tier + age_2020,126288.234375,8,4332.0859375,0.0,False
phi~1 + gender + age_2020_p~1_f~1 + gender + tier + age_2020,126290.234375,9,4334.0859375,0.0,False
phi~1 + tier + age_2020_p~1_f~1 + tier + age_2020,126290.234375,9,4334.0859375,0.0,False
phi~1 + tier + age_2020_p~1_f~1 + gender + tier + age_2020,126292.234375,10,4336.0859375,0.0,False
phi~1 + gender + tier_p~1_f~1 + tier,126687.4453125,8,4731.296875,0.0,False
phi~1 + age_2020_p~1_f~1 + age_2020,126711.5234375,5,4755.375,0.0,False
phi~1 + age_2020_p~1_f~1 + gender + tier + age_2020,126717.5234375,8,4761.375,0.0,False
phi~1 + gender + tier_p~1_f~1 + gender + tier,127163.765625,9,5207.6171875,0.0,False
phi~1 + gender + tier + age_2020_p~1_f~1 + gender + tier,127165.765625,10,5209.6171875,0.0,False
phi~1 + gender + tier + age_2020_p~1_f~1,130191.5859375,7,8235.4375,0.0,False
phi~1 + gender + age_2020_p~1_f~1,130579.9453125,5,8623.796875,0.0,False
